Area,Count 
Greater London Authority,"201,744"
Inner London,"95,183"
Outer London,"106,562"
Greater Manchester Combined Authority,"40,040"
South Yorkshire Mayoral Combined Authority,"18,920"
West Yorkshire Combined Authority,"32,760"
Liverpool City Region Combined Authority,"22,554"
Tees Valley Combined Authority,"9,483"
West Midlands Combined Authority,"37,581"
Cambridgeshire and Peterborough Combined Authority,"14,554"
West of England Combined Authority,"15,235"
York and North Yorkshire Combined Authority,"3,308"
East Midlands Combined Authority,"31,872"
North East Combined Authority,"28,431"
Greater Brighton City Region,"17,858"
Cardiff Capital Region,"21,492"
Growing Mid Wales,"3,065"
North Wales Economic Ambition Board,"10,394"
Swansea Bay City Region,"9,935"
