Area,Count
Greater London Authority,"236,948"
Inner London,"112,850"
Outer London,"124,098"
Greater Manchester Combined Authority,"44,301"
South Yorkshire Mayoral Combined Authority,"20,803"
West Yorkshire Combined Authority,"35,988"
Liverpool City Region Combined Authority,"24,510"
Tees Valley Combined Authority,"10,284"
West Midlands Combined Authority,"42,639"
Cambridgeshire and Peterborough Combined Authority,"16,854"
West of England Combined Authority,"17,705"
York and North Yorkshire Combined Authority,"3,666"
East Midlands Combined Authority,"35,282"
North East Combined Authority,"30,869"
Greater Brighton City Region,"20,223"
Cardiff Capital Region,"23,323"
Growing Mid Wales,"3,216"
North Wales Economic Ambition Board,"11,211"
Swansea Bay City Region,"10,614"
