Area,Count
Greater London Authority,264,193
Inner London,127,059
Outer London,137,134
Greater Manchester Combined Authority,49,803
South Yorkshire Mayoral Combined Authority,22,860
West Yorkshire Combined Authority,40,025
Liverpool City Region Combined Authority,26,877
Tees Valley Combined Authority,11,213
West Midlands Combined Authority,46,508
Cambridgeshire and Peterborough Combined Authority,18,736
West of England Combined Authority,20,029
York and North Yorkshire Combined Authority,4,121
East Midlands Combined Authority,38,970
North East Combined Authority,33,586
Greater Brighton City Region,22,469
Cardiff Capital Region,26,128
Growing Mid Wales,3,572
North Wales Economic Ambition Board,12,096
Swansea Bay City Region,11,624

