Region,Age Group,Count
East Midlands,16-24,9355
East Midlands,25-64,54363
East Midlands,65+,23735
South West,16-24,33537
South West,25-64,178423
South West,65+,82923
East of England,16-24,30931
East of England,25-64,183958
East of England,65+,60912
Yorkshire and The Humber,16-24,10287
Yorkshire and The Humber,25-64,63571
Yorkshire and The Humber,65+,24839
East of England,16-24,15432
East of England,25-64,87355
East of England,65+,62087
North West,16-24,27819
North West,25-64,147930
North West,65+,62335
East Midlands,16-24,22283
East Midlands,25-64,118938
East Midlands,65+,42891
East of England,16-24,37345
East of England,25-64,191028
East of England,65+,91127
West Midlands,16-24,11708
West Midlands,25-64,65466
West Midlands,65+,23377
East of England,16-24,27546
East of England,25-64,165442
East of England,65+,49702
