code,areaName,N/A,none,level1,level2,apprentice,level3,level4,other
W92000004,Wales,548078,509682,223025,367360,143316,440652,806773,68608
E12000001,North East,468053,442379,208919,301648,144765,404417,622419,54413
E12000002,North West,1391762,1174699,583083,819133,353909,1061950,1880049,152812
E12000003,Yorkshire and The Humber,1020475,919640,449065,607396,273719,777070,1315456,117953
E12000004,East Midlands,882009,778906,415084,556046,239223,731371,1163784,113631
E12000005,West Midlands,1149428,1015300,494710,666695,253185,818973,1413723,138740
E12000006,East of England,1186790,932209,554976,742611,284157,863162,1625376,145790
E12000007,London,1695743,1151250,545269,707518,227622,937875,3316829,217622
E12000008,South East,1723485,1162221,739122,1046800,386759,1313552,2702048,204078
E12000009,South West,965346,741183,465970,678280,283597,876607,1566774,123429
